case,problem,num_cores,makespan,baseline_makespan,speedup,source,source_n,plan
case_019,1,1,81144,81144,1.0,self,1,results/final_plans_mono/p1/n1/case_019_multicore_res.json
case_019,1,2,41518,81144,1.9544,self,2,results/final_plans_mono/p1/n2/case_019_multicore_res.json
case_019,1,3,30948,81144,2.6219,self,3,results/final_plans_mono/p1/n3/case_019_multicore_res.json
case_019,1,4,24731,81144,3.2811,self,4,results/final_plans_mono/p1/n4/case_019_multicore_res.json
case_019,1,5,24731,81144,3.2811,embed_from_4,4,results/final_plans_mono/p1/n5/case_019_multicore_res.json
case_019,2,1,81144,81144,1.0,self,1,results/final_plans_mono/p2/n1/case_019_multicore_res.json
case_019,2,2,34656,81144,2.3414,self,2,results/final_plans_mono/p2/n2/case_019_multicore_res.json
case_019,2,3,27380,81144,2.9636,self,3,results/final_plans_mono/p2/n3/case_019_multicore_res.json
case_019,2,4,21169,81144,3.8332,self,4,results/final_plans_mono/p2/n4/case_019_multicore_res.json
case_019,2,5,17971,81144,4.5153,self,5,results/final_plans_mono/p2/n5/case_019_multicore_res.json
case_019,3,1,81144,81144,1.0,self,1,results/final_plans_mono/p3/n1/case_019_multicore_res.json
case_019,3,2,34656,81144,2.3414,self,2,results/final_plans_mono/p3/n2/case_019_multicore_res.json
case_019,3,3,27321,81144,2.97,self,3,results/final_plans_mono/p3/n3/case_019_multicore_res.json
case_019,3,4,22501,81144,3.6062,self,4,results/final_plans_mono/p3/n4/case_019_multicore_res.json
case_019,3,5,19699,81144,4.1192,self,5,results/final_plans_mono/p3/n5/case_019_multicore_res.json
case_020,1,1,532746,532746,1.0,self,1,results/final_plans_mono/p1/n1/case_020_multicore_res.json
case_020,1,2,266580,532746,1.9984,self,2,results/final_plans_mono/p1/n2/case_020_multicore_res.json
case_020,1,3,177950,532746,2.9938,self,3,results/final_plans_mono/p1/n3/case_020_multicore_res.json
case_020,1,4,133704,532746,3.9845,self,4,results/final_plans_mono/p1/n4/case_020_multicore_res.json
case_020,1,5,107574,532746,4.9524,self,5,results/final_plans_mono/p1/n5/case_020_multicore_res.json
case_020,2,1,532746,532746,1.0,self,1,results/final_plans_mono/p2/n1/case_020_multicore_res.json
case_020,2,2,266580,532746,1.9984,self,2,results/final_plans_mono/p2/n2/case_020_multicore_res.json
case_020,2,3,177950,532746,2.9938,self,3,results/final_plans_mono/p2/n3/case_020_multicore_res.json
case_020,2,4,133704,532746,3.9845,self,4,results/final_plans_mono/p2/n4/case_020_multicore_res.json
case_020,2,5,107574,532746,4.9524,self,5,results/final_plans_mono/p2/n5/case_020_multicore_res.json
case_020,3,1,532746,532746,1.0,self,1,results/final_plans_mono/p3/n1/case_020_multicore_res.json
case_020,3,2,266580,532746,1.9984,self,2,results/final_plans_mono/p3/n2/case_020_multicore_res.json
case_020,3,3,177950,532746,2.9938,self,3,results/final_plans_mono/p3/n3/case_020_multicore_res.json
case_020,3,4,133704,532746,3.9845,self,4,results/final_plans_mono/p3/n4/case_020_multicore_res.json
case_020,3,5,107574,532746,4.9524,self,5,results/final_plans_mono/p3/n5/case_020_multicore_res.json
case_021,1,1,6567937,6567937,1.0,self,1,results/final_plans_mono/p1/n1/case_021_multicore_res.json
case_021,1,2,3104250,6567937,2.1158,self,2,results/final_plans_mono/p1/n2/case_021_multicore_res.json
case_021,1,3,2144024,6567937,3.0634,self,3,results/final_plans_mono/p1/n3/case_021_multicore_res.json
case_021,1,4,1550324,6567937,4.2365,self,4,results/final_plans_mono/p1/n4/case_021_multicore_res.json
case_021,1,5,1250168,6567937,5.2536,self,5,results/final_plans_mono/p1/n5/case_021_multicore_res.json
case_021,2,1,6567937,6567937,1.0,self,1,results/final_plans_mono/p2/n1/case_021_multicore_res.json
case_021,2,2,3194570,6567937,2.056,self,2,results/final_plans_mono/p2/n2/case_021_multicore_res.json
case_021,2,3,2144024,6567937,3.0634,self,3,results/final_plans_mono/p2/n3/case_021_multicore_res.json
case_021,2,4,1550324,6567937,4.2365,self,4,results/final_plans_mono/p2/n4/case_021_multicore_res.json
case_021,2,5,1250168,6567937,5.2536,self,5,results/final_plans_mono/p2/n5/case_021_multicore_res.json
case_021,3,1,6558837,6567937,1.0014,self,1,results/final_plans_mono/p3/n1/case_021_multicore_res.json
case_021,3,2,3193634,6567937,2.0566,self,2,results/final_plans_mono/p3/n2/case_021_multicore_res.json
case_021,3,3,2142851,6567937,3.065,self,3,results/final_plans_mono/p3/n3/case_021_multicore_res.json
case_021,3,4,1550324,6567937,4.2365,self,4,results/final_plans_mono/p3/n4/case_021_multicore_res.json
case_021,3,5,1249380,6567937,5.257,self,5,results/final_plans_mono/p3/n5/case_021_multicore_res.json
case_022,1,1,56780,56780,1.0,self,1,results/final_plans_mono/p1/n1/case_022_multicore_res.json
case_022,1,2,28674,56780,1.9802,self,2,results/final_plans_mono/p1/n2/case_022_multicore_res.json
case_022,1,3,19800,56780,2.8677,self,3,results/final_plans_mono/p1/n3/case_022_multicore_res.json
case_022,1,4,14940,56780,3.8005,self,4,results/final_plans_mono/p1/n4/case_022_multicore_res.json
case_022,1,5,14940,56780,3.8005,embed_from_4,4,results/final_plans_mono/p1/n5/case_022_multicore_res.json
case_022,2,1,56780,56780,1.0,self,1,results/final_plans_mono/p2/n1/case_022_multicore_res.json
case_022,2,2,27481,56780,2.0662,self,2,results/final_plans_mono/p2/n2/case_022_multicore_res.json
case_022,2,3,19193,56780,2.9584,self,3,results/final_plans_mono/p2/n3/case_022_multicore_res.json
case_022,2,4,14940,56780,3.8005,self,4,results/final_plans_mono/p2/n4/case_022_multicore_res.json
case_022,2,5,12461,56780,4.5566,self,5,results/final_plans_mono/p2/n5/case_022_multicore_res.json
case_022,3,1,56780,56780,1.0,self,1,results/final_plans_mono/p3/n1/case_022_multicore_res.json
case_022,3,2,27481,56780,2.0662,self,2,results/final_plans_mono/p3/n2/case_022_multicore_res.json
case_022,3,3,19192,56780,2.9585,self,3,results/final_plans_mono/p3/n3/case_022_multicore_res.json
case_022,3,4,14940,56780,3.8005,self,4,results/final_plans_mono/p3/n4/case_022_multicore_res.json
case_022,3,5,12434,56780,4.5665,self,5,results/final_plans_mono/p3/n5/case_022_multicore_res.json
case_023,1,1,122614,122614,1.0,self,1,results/final_plans_mono/p1/n1/case_023_multicore_res.json
case_023,1,2,60389,122614,2.0304,self,2,results/final_plans_mono/p1/n2/case_023_multicore_res.json
case_023,1,3,41575,122614,2.9492,self,3,results/final_plans_mono/p1/n3/case_023_multicore_res.json
case_023,1,4,30864,122614,3.9727,self,4,results/final_plans_mono/p1/n4/case_023_multicore_res.json
case_023,1,5,24927,122614,4.9189,self,5,results/final_plans_mono/p1/n5/case_023_multicore_res.json
case_023,2,1,122614,122614,1.0,self,1,results/final_plans_mono/p2/n1/case_023_multicore_res.json
case_023,2,2,41726,122614,2.9386,self,2,results/final_plans_mono/p2/n2/case_023_multicore_res.json
case_023,2,3,28284,122614,4.3351,self,3,results/final_plans_mono/p2/n3/case_023_multicore_res.json
case_023,2,4,28284,122614,4.3351,embed_from_3,3,results/final_plans_mono/p2/n4/case_023_multicore_res.json
case_023,2,5,21898,122614,5.5993,self,5,results/final_plans_mono/p2/n5/case_023_multicore_res.json
case_023,3,1,122614,122614,1.0,self,1,results/final_plans_mono/p3/n1/case_023_multicore_res.json
case_023,3,2,41726,122614,2.9386,self,2,results/final_plans_mono/p3/n2/case_023_multicore_res.json
case_023,3,3,28284,122614,4.3351,self,3,results/final_plans_mono/p3/n3/case_023_multicore_res.json
case_023,3,4,27929,122614,4.3902,self,4,results/final_plans_mono/p3/n4/case_023_multicore_res.json
case_023,3,5,23629,122614,5.1891,self,5,results/final_plans_mono/p3/n5/case_023_multicore_res.json
case_024,1,1,2555343,2555343,1.0,self,1,results/final_plans_mono/p1/n1/case_024_multicore_res.json
case_024,1,2,2555343,2555343,1.0,embed_from_1,1,results/final_plans_mono/p1/n2/case_024_multicore_res.json
case_024,1,3,2473380,2555343,1.0331,self,3,results/final_plans_mono/p1/n3/case_024_multicore_res.json
case_024,1,4,2359811,2555343,1.0829,self,4,results/final_plans_mono/p1/n4/case_024_multicore_res.json
case_024,1,5,2053364,2555343,1.2445,self,5,results/final_plans_mono/p1/n5/case_024_multicore_res.json
case_024,2,1,2555343,2555343,1.0,self,1,results/final_plans_mono/p2/n1/case_024_multicore_res.json
case_024,2,2,2555343,2555343,1.0,embed_from_1,1,results/final_plans_mono/p2/n2/case_024_multicore_res.json
case_024,2,3,2159403,2555343,1.1834,self,3,results/final_plans_mono/p2/n3/case_024_multicore_res.json
case_024,2,4,2006540,2555343,1.2735,self,4,results/final_plans_mono/p2/n4/case_024_multicore_res.json
case_024,2,5,1579198,2555343,1.6181,self,5,results/final_plans_mono/p2/n5/case_024_multicore_res.json
case_024,3,1,2555343,2555343,1.0,self,1,results/final_plans_mono/p3/n1/case_024_multicore_res.json
case_024,3,2,2555343,2555343,1.0,embed_from_1,1,results/final_plans_mono/p3/n2/case_024_multicore_res.json
case_024,3,3,2159126,2555343,1.1835,self,3,results/final_plans_mono/p3/n3/case_024_multicore_res.json
case_024,3,4,2003351,2555343,1.2755,self,4,results/final_plans_mono/p3/n4/case_024_multicore_res.json
case_024,3,5,1580984,2555343,1.6163,self,5,results/final_plans_mono/p3/n5/case_024_multicore_res.json
case_025,1,1,4863026,4863026,1.0,self,1,results/final_plans_mono/p1/n1/case_025_multicore_res.json
case_025,1,2,2431840,4863026,1.9997,self,2,results/final_plans_mono/p1/n2/case_025_multicore_res.json
case_025,1,3,1622164,4863026,2.9979,self,3,results/final_plans_mono/p1/n3/case_025_multicore_res.json
case_025,1,4,1217444,4863026,3.9945,self,4,results/final_plans_mono/p1/n4/case_025_multicore_res.json
case_025,1,5,975282,4863026,4.9863,self,5,results/final_plans_mono/p1/n5/case_025_multicore_res.json
case_025,2,1,4863026,4863026,1.0,self,1,results/final_plans_mono/p2/n1/case_025_multicore_res.json
case_025,2,2,2431840,4863026,1.9997,self,2,results/final_plans_mono/p2/n2/case_025_multicore_res.json
case_025,2,3,1622164,4863026,2.9979,self,3,results/final_plans_mono/p2/n3/case_025_multicore_res.json
case_025,2,4,1217444,4863026,3.9945,self,4,results/final_plans_mono/p2/n4/case_025_multicore_res.json
case_025,2,5,975282,4863026,4.9863,self,5,results/final_plans_mono/p2/n5/case_025_multicore_res.json
case_025,3,1,4863026,4863026,1.0,self,1,results/final_plans_mono/p3/n1/case_025_multicore_res.json
case_025,3,2,2431840,4863026,1.9997,self,2,results/final_plans_mono/p3/n2/case_025_multicore_res.json
case_025,3,3,1622164,4863026,2.9979,self,3,results/final_plans_mono/p3/n3/case_025_multicore_res.json
case_025,3,4,1217444,4863026,3.9945,self,4,results/final_plans_mono/p3/n4/case_025_multicore_res.json
case_025,3,5,975282,4863026,4.9863,self,5,results/final_plans_mono/p3/n5/case_025_multicore_res.json
case_026,1,1,99203,99203,1.0,self,1,results/final_plans_mono/p1/n1/case_026_multicore_res.json
case_026,1,2,57246,99203,1.7329,self,2,results/final_plans_mono/p1/n2/case_026_multicore_res.json
case_026,1,3,47309,99203,2.0969,self,3,results/final_plans_mono/p1/n3/case_026_multicore_res.json
case_026,1,4,46327,99203,2.1414,self,4,results/final_plans_mono/p1/n4/case_026_multicore_res.json
case_026,1,5,45344,99203,2.1878,self,5,results/final_plans_mono/p1/n5/case_026_multicore_res.json
case_026,2,1,99203,99203,1.0,self,1,results/final_plans_mono/p2/n1/case_026_multicore_res.json
case_026,2,2,48612,99203,2.0407,self,2,results/final_plans_mono/p2/n2/case_026_multicore_res.json
case_026,2,3,38424,99203,2.5818,self,3,results/final_plans_mono/p2/n3/case_026_multicore_res.json
case_026,2,4,38424,99203,2.5818,embed_from_3,3,results/final_plans_mono/p2/n4/case_026_multicore_res.json
case_026,2,5,38424,99203,2.5818,embed_from_3,3,results/final_plans_mono/p2/n5/case_026_multicore_res.json
case_026,3,1,99203,99203,1.0,self,1,results/final_plans_mono/p3/n1/case_026_multicore_res.json
case_026,3,2,48612,99203,2.0407,self,2,results/final_plans_mono/p3/n2/case_026_multicore_res.json
case_026,3,3,43665,99203,2.2719,self,3,results/final_plans_mono/p3/n3/case_026_multicore_res.json
case_026,3,4,38710,99203,2.5627,self,4,results/final_plans_mono/p3/n4/case_026_multicore_res.json
case_026,3,5,38710,99203,2.5627,embed_from_4,4,results/final_plans_mono/p3/n5/case_026_multicore_res.json
case_027,1,1,2363952,2363952,1.0,self,1,results/final_plans_mono/p1/n1/case_027_multicore_res.json
case_027,1,2,1120962,2363952,2.1089,self,2,results/final_plans_mono/p1/n2/case_027_multicore_res.json
case_027,1,3,837049,2363952,2.8242,self,3,results/final_plans_mono/p1/n3/case_027_multicore_res.json
case_027,1,4,559196,2363952,4.2274,self,4,results/final_plans_mono/p1/n4/case_027_multicore_res.json
case_027,1,5,558753,2363952,4.2308,self,5,results/final_plans_mono/p1/n5/case_027_multicore_res.json
case_027,2,1,2363952,2363952,1.0,self,1,results/final_plans_mono/p2/n1/case_027_multicore_res.json
case_027,2,2,1115722,2363952,2.1188,self,2,results/final_plans_mono/p2/n2/case_027_multicore_res.json
case_027,2,3,811250,2363952,2.914,self,3,results/final_plans_mono/p2/n3/case_027_multicore_res.json
case_027,2,4,559196,2363952,4.2274,self,4,results/final_plans_mono/p2/n4/case_027_multicore_res.json
case_027,2,5,533784,2363952,4.4287,self,5,results/final_plans_mono/p2/n5/case_027_multicore_res.json
case_027,3,1,2359515,2363952,1.0019,self,1,results/final_plans_mono/p3/n1/case_027_multicore_res.json
case_027,3,2,1115722,2363952,2.1188,self,2,results/final_plans_mono/p3/n2/case_027_multicore_res.json
case_027,3,3,811250,2363952,2.914,self,3,results/final_plans_mono/p3/n3/case_027_multicore_res.json
case_027,3,4,559196,2363952,4.2274,self,4,results/final_plans_mono/p3/n4/case_027_multicore_res.json
case_027,3,5,533784,2363952,4.4287,self,5,results/final_plans_mono/p3/n5/case_027_multicore_res.json
case_028,1,1,43836040,43836040,1.0,self,1,results/final_plans_mono/p1/n1/case_028_multicore_res.json
case_028,1,2,22201391,43836040,1.9745,self,2,results/final_plans_mono/p1/n2/case_028_multicore_res.json
case_028,1,3,15499450,43836040,2.8282,self,3,results/final_plans_mono/p1/n3/case_028_multicore_res.json
case_028,1,4,12244739,43836040,3.58,self,4,results/final_plans_mono/p1/n4/case_028_multicore_res.json
case_028,1,5,10962408,43836040,3.9988,self,5,results/final_plans_mono/p1/n5/case_028_multicore_res.json
case_028,2,1,43836040,43836040,1.0,self,1,results/final_plans_mono/p2/n1/case_028_multicore_res.json
case_028,2,2,20028806,43836040,2.1886,self,2,results/final_plans_mono/p2/n2/case_028_multicore_res.json
case_028,2,3,13295262,43836040,3.2971,self,3,results/final_plans_mono/p2/n3/case_028_multicore_res.json
case_028,2,4,10099681,43836040,4.3403,self,4,results/final_plans_mono/p2/n4/case_028_multicore_res.json
case_028,2,5,8055128,43836040,5.442,self,5,results/final_plans_mono/p2/n5/case_028_multicore_res.json
case_028,3,1,43836040,43836040,1.0,self,1,results/final_plans_mono/p3/n1/case_028_multicore_res.json
case_028,3,2,20009296,43836040,2.1908,self,2,results/final_plans_mono/p3/n2/case_028_multicore_res.json
case_028,3,3,13270473,43836040,3.3033,self,3,results/final_plans_mono/p3/n3/case_028_multicore_res.json
case_028,3,4,10080305,43836040,4.3487,self,4,results/final_plans_mono/p3/n4/case_028_multicore_res.json
case_028,3,5,7991196,43836040,5.4855,self,5,results/final_plans_mono/p3/n5/case_028_multicore_res.json
case_029,1,1,37555,37555,1.0,self,1,results/final_plans_mono/p1/n1/case_029_multicore_res.json
case_029,1,2,19740,37555,1.9025,self,2,results/final_plans_mono/p1/n2/case_029_multicore_res.json
case_029,1,3,12743,37555,2.9471,self,3,results/final_plans_mono/p1/n3/case_029_multicore_res.json
case_029,1,4,11028,37555,3.4054,self,4,results/final_plans_mono/p1/n4/case_029_multicore_res.json
case_029,1,5,9383,37555,4.0025,self,5,results/final_plans_mono/p1/n5/case_029_multicore_res.json
case_029,2,1,37555,37555,1.0,self,1,results/final_plans_mono/p2/n1/case_029_multicore_res.json
case_029,2,2,19740,37555,1.9025,self,2,results/final_plans_mono/p2/n2/case_029_multicore_res.json
case_029,2,3,12743,37555,2.9471,self,3,results/final_plans_mono/p2/n3/case_029_multicore_res.json
case_029,2,4,11028,37555,3.4054,self,4,results/final_plans_mono/p2/n4/case_029_multicore_res.json
case_029,2,5,9164,37555,4.0981,self,5,results/final_plans_mono/p2/n5/case_029_multicore_res.json
case_029,3,1,37555,37555,1.0,self,1,results/final_plans_mono/p3/n1/case_029_multicore_res.json
case_029,3,2,19740,37555,1.9025,self,2,results/final_plans_mono/p3/n2/case_029_multicore_res.json
case_029,3,3,12743,37555,2.9471,self,3,results/final_plans_mono/p3/n3/case_029_multicore_res.json
case_029,3,4,11028,37555,3.4054,self,4,results/final_plans_mono/p3/n4/case_029_multicore_res.json
case_029,3,5,9383,37555,4.0025,self,5,results/final_plans_mono/p3/n5/case_029_multicore_res.json
case_030,1,1,2808034,2808034,1.0,self,1,results/final_plans_mono/p1/n1/case_030_multicore_res.json
case_030,1,2,1401186,2808034,2.004,self,2,results/final_plans_mono/p1/n2/case_030_multicore_res.json
case_030,1,3,931329,2808034,3.0151,self,3,results/final_plans_mono/p1/n3/case_030_multicore_res.json
case_030,1,4,701262,2808034,4.0043,self,4,results/final_plans_mono/p1/n4/case_030_multicore_res.json
case_030,1,5,561417,2808034,5.0017,self,5,results/final_plans_mono/p1/n5/case_030_multicore_res.json
case_030,2,1,2808034,2808034,1.0,self,1,results/final_plans_mono/p2/n1/case_030_multicore_res.json
case_030,2,2,1399993,2808034,2.0057,self,2,results/final_plans_mono/p2/n2/case_030_multicore_res.json
case_030,2,3,931329,2808034,3.0151,self,3,results/final_plans_mono/p2/n3/case_030_multicore_res.json
case_030,2,4,699599,2808034,4.0138,self,4,results/final_plans_mono/p2/n4/case_030_multicore_res.json
case_030,2,5,561417,2808034,5.0017,self,5,results/final_plans_mono/p2/n5/case_030_multicore_res.json
case_030,3,1,2807891,2808034,1.0001,self,1,results/final_plans_mono/p3/n1/case_030_multicore_res.json
case_030,3,2,1399744,2808034,2.0061,self,2,results/final_plans_mono/p3/n2/case_030_multicore_res.json
case_030,3,3,931340,2808034,3.015,self,3,results/final_plans_mono/p3/n3/case_030_multicore_res.json
case_030,3,4,699009,2808034,4.0172,self,4,results/final_plans_mono/p3/n4/case_030_multicore_res.json
case_030,3,5,560550,2808034,5.0094,self,5,results/final_plans_mono/p3/n5/case_030_multicore_res.json
case_031,1,1,1414369,1414369,1.0,self,1,results/final_plans_mono/p1/n1/case_031_multicore_res.json
case_031,1,2,706617,1414369,2.0016,self,2,results/final_plans_mono/p1/n2/case_031_multicore_res.json
case_031,1,3,506462,1414369,2.7926,self,3,results/final_plans_mono/p1/n3/case_031_multicore_res.json
case_031,1,4,367052,1414369,3.8533,self,4,results/final_plans_mono/p1/n4/case_031_multicore_res.json
case_031,1,5,293945,1414369,4.8117,self,5,results/final_plans_mono/p1/n5/case_031_multicore_res.json
case_031,2,1,1414369,1414369,1.0,self,1,results/final_plans_mono/p2/n1/case_031_multicore_res.json
case_031,2,2,711725,1414369,1.9872,self,2,results/final_plans_mono/p2/n2/case_031_multicore_res.json
case_031,2,3,506462,1414369,2.7926,self,3,results/final_plans_mono/p2/n3/case_031_multicore_res.json
case_031,2,4,367052,1414369,3.8533,self,4,results/final_plans_mono/p2/n4/case_031_multicore_res.json
case_031,2,5,293958,1414369,4.8115,self,5,results/final_plans_mono/p2/n5/case_031_multicore_res.json
case_031,3,1,1414159,1414369,1.0001,self,1,results/final_plans_mono/p3/n1/case_031_multicore_res.json
case_031,3,2,710284,1414369,1.9913,self,2,results/final_plans_mono/p3/n2/case_031_multicore_res.json
case_031,3,3,506212,1414369,2.794,self,3,results/final_plans_mono/p3/n3/case_031_multicore_res.json
case_031,3,4,367052,1414369,3.8533,self,4,results/final_plans_mono/p3/n4/case_031_multicore_res.json
case_031,3,5,293738,1414369,4.8151,self,5,results/final_plans_mono/p3/n5/case_031_multicore_res.json
case_032,1,1,41443,41443,1.0,self,1,results/final_plans_mono/p1/n1/case_032_multicore_res.json
case_032,1,2,21082,41443,1.9658,self,2,results/final_plans_mono/p1/n2/case_032_multicore_res.json
case_032,1,3,16407,41443,2.5259,self,3,results/final_plans_mono/p1/n3/case_032_multicore_res.json
case_032,1,4,14775,41443,2.8049,self,4,results/final_plans_mono/p1/n4/case_032_multicore_res.json
case_032,1,5,11904,41443,3.4814,self,5,results/final_plans_mono/p1/n5/case_032_multicore_res.json
case_032,2,1,41443,41443,1.0,self,1,results/final_plans_mono/p2/n1/case_032_multicore_res.json
case_032,2,2,21098,41443,1.9643,self,2,results/final_plans_mono/p2/n2/case_032_multicore_res.json
case_032,2,3,12670,41443,3.271,self,3,results/final_plans_mono/p2/n3/case_032_multicore_res.json
case_032,2,4,11700,41443,3.5421,self,4,results/final_plans_mono/p2/n4/case_032_multicore_res.json
case_032,2,5,10976,41443,3.7758,self,5,results/final_plans_mono/p2/n5/case_032_multicore_res.json
case_032,3,1,41443,41443,1.0,self,1,results/final_plans_mono/p3/n1/case_032_multicore_res.json
case_032,3,2,20940,41443,1.9791,self,2,results/final_plans_mono/p3/n2/case_032_multicore_res.json
case_032,3,3,12612,41443,3.286,self,3,results/final_plans_mono/p3/n3/case_032_multicore_res.json
case_032,3,4,11709,41443,3.5394,self,4,results/final_plans_mono/p3/n4/case_032_multicore_res.json
case_032,3,5,10930,41443,3.7917,self,5,results/final_plans_mono/p3/n5/case_032_multicore_res.json
case_033,1,1,1774196,1774196,1.0,self,1,results/final_plans_mono/p1/n1/case_033_multicore_res.json
case_033,1,2,893844,1774196,1.9849,self,2,results/final_plans_mono/p1/n2/case_033_multicore_res.json
case_033,1,3,589568,1774196,3.0093,self,3,results/final_plans_mono/p1/n3/case_033_multicore_res.json
case_033,1,4,446802,1774196,3.9709,self,4,results/final_plans_mono/p1/n4/case_033_multicore_res.json
case_033,1,5,357201,1774196,4.9669,self,5,results/final_plans_mono/p1/n5/case_033_multicore_res.json
case_033,2,1,1774196,1774196,1.0,self,1,results/final_plans_mono/p2/n1/case_033_multicore_res.json
case_033,2,2,893844,1774196,1.9849,self,2,results/final_plans_mono/p2/n2/case_033_multicore_res.json
case_033,2,3,589568,1774196,3.0093,self,3,results/final_plans_mono/p2/n3/case_033_multicore_res.json
case_033,2,4,446802,1774196,3.9709,self,4,results/final_plans_mono/p2/n4/case_033_multicore_res.json
case_033,2,5,357201,1774196,4.9669,self,5,results/final_plans_mono/p2/n5/case_033_multicore_res.json
case_033,3,1,1774080,1774196,1.0001,self,1,results/final_plans_mono/p3/n1/case_033_multicore_res.json
case_033,3,2,893649,1774196,1.9853,self,2,results/final_plans_mono/p3/n2/case_033_multicore_res.json
case_033,3,3,588351,1774196,3.0155,self,3,results/final_plans_mono/p3/n3/case_033_multicore_res.json
case_033,3,4,445198,1774196,3.9852,self,4,results/final_plans_mono/p3/n4/case_033_multicore_res.json
case_033,3,5,356085,1774196,4.9825,self,5,results/final_plans_mono/p3/n5/case_033_multicore_res.json
case_034,1,1,842996,842996,1.0,self,1,results/final_plans_mono/p1/n1/case_034_multicore_res.json
case_034,1,2,418733,842996,2.0132,self,2,results/final_plans_mono/p1/n2/case_034_multicore_res.json
case_034,1,3,278567,842996,3.0262,self,3,results/final_plans_mono/p1/n3/case_034_multicore_res.json
case_034,1,4,225165,842996,3.7439,self,4,results/final_plans_mono/p1/n4/case_034_multicore_res.json
case_034,1,5,180411,842996,4.6726,self,5,results/final_plans_mono/p1/n5/case_034_multicore_res.json
case_034,2,1,842996,842996,1.0,self,1,results/final_plans_mono/p2/n1/case_034_multicore_res.json
case_034,2,2,412272,842996,2.0448,self,2,results/final_plans_mono/p2/n2/case_034_multicore_res.json
case_034,2,3,272649,842996,3.0919,self,3,results/final_plans_mono/p2/n3/case_034_multicore_res.json
case_034,2,4,215722,842996,3.9078,self,4,results/final_plans_mono/p2/n4/case_034_multicore_res.json
case_034,2,5,165143,842996,5.1046,self,5,results/final_plans_mono/p2/n5/case_034_multicore_res.json
case_034,3,1,842733,842996,1.0003,self,1,results/final_plans_mono/p3/n1/case_034_multicore_res.json
case_034,3,2,412214,842996,2.045,self,2,results/final_plans_mono/p3/n2/case_034_multicore_res.json
case_034,3,3,272476,842996,3.0938,self,3,results/final_plans_mono/p3/n3/case_034_multicore_res.json
case_034,3,4,215630,842996,3.9095,self,4,results/final_plans_mono/p3/n4/case_034_multicore_res.json
case_034,3,5,164310,842996,5.1305,self,5,results/final_plans_mono/p3/n5/case_034_multicore_res.json
case_035,1,1,169571,169571,1.0,self,1,results/final_plans_mono/p1/n1/case_035_multicore_res.json
case_035,1,2,133256,169571,1.2725,self,2,results/final_plans_mono/p1/n2/case_035_multicore_res.json
case_035,1,3,106705,169571,1.5892,self,3,results/final_plans_mono/p1/n3/case_035_multicore_res.json
case_035,1,4,105203,169571,1.6118,self,4,results/final_plans_mono/p1/n4/case_035_multicore_res.json
case_035,1,5,89476,169571,1.8952,self,5,results/final_plans_mono/p1/n5/case_035_multicore_res.json
case_035,2,1,169571,169571,1.0,self,1,results/final_plans_mono/p2/n1/case_035_multicore_res.json
case_035,2,2,103111,169571,1.6445,self,2,results/final_plans_mono/p2/n2/case_035_multicore_res.json
case_035,2,3,78824,169571,2.1513,self,3,results/final_plans_mono/p2/n3/case_035_multicore_res.json
case_035,2,4,78073,169571,2.172,self,4,results/final_plans_mono/p2/n4/case_035_multicore_res.json
case_035,2,5,64436,169571,2.6316,self,5,results/final_plans_mono/p2/n5/case_035_multicore_res.json
case_035,3,1,169571,169571,1.0,self,1,results/final_plans_mono/p3/n1/case_035_multicore_res.json
case_035,3,2,103075,169571,1.6451,self,2,results/final_plans_mono/p3/n2/case_035_multicore_res.json
case_035,3,3,78754,169571,2.1532,self,3,results/final_plans_mono/p3/n3/case_035_multicore_res.json
case_035,3,4,77573,169571,2.186,self,4,results/final_plans_mono/p3/n4/case_035_multicore_res.json
case_035,3,5,63503,169571,2.6703,self,5,results/final_plans_mono/p3/n5/case_035_multicore_res.json
case_036,1,1,931510,931510,1.0,self,1,results/final_plans_mono/p1/n1/case_036_multicore_res.json
case_036,1,2,466068,931510,1.9987,self,2,results/final_plans_mono/p1/n2/case_036_multicore_res.json
case_036,1,3,311345,931510,2.9919,self,3,results/final_plans_mono/p1/n3/case_036_multicore_res.json
case_036,1,4,233584,931510,3.9879,self,4,results/final_plans_mono/p1/n4/case_036_multicore_res.json
case_036,1,5,187182,931510,4.9765,self,5,results/final_plans_mono/p1/n5/case_036_multicore_res.json
case_036,2,1,931510,931510,1.0,self,1,results/final_plans_mono/p2/n1/case_036_multicore_res.json
case_036,2,2,466068,931510,1.9987,self,2,results/final_plans_mono/p2/n2/case_036_multicore_res.json
case_036,2,3,311345,931510,2.9919,self,3,results/final_plans_mono/p2/n3/case_036_multicore_res.json
case_036,2,4,233584,931510,3.9879,self,4,results/final_plans_mono/p2/n4/case_036_multicore_res.json
case_036,2,5,187182,931510,4.9765,self,5,results/final_plans_mono/p2/n5/case_036_multicore_res.json
case_036,3,1,931510,931510,1.0,self,1,results/final_plans_mono/p3/n1/case_036_multicore_res.json
case_036,3,2,466068,931510,1.9987,self,2,results/final_plans_mono/p3/n2/case_036_multicore_res.json
case_036,3,3,311345,931510,2.9919,self,3,results/final_plans_mono/p3/n3/case_036_multicore_res.json
case_036,3,4,233584,931510,3.9879,self,4,results/final_plans_mono/p3/n4/case_036_multicore_res.json
case_036,3,5,187182,931510,4.9765,self,5,results/final_plans_mono/p3/n5/case_036_multicore_res.json
