eval_problem,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path,proxy_fallback,case,problem,num_cores,mono_fix
3,capls,s2,2,0.636,0.859,True,38024,804684,804684.0,0.0,1138098.0,0.2770577749027808,221004.0,4113,95618,,2.5146749421418053,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p3_n3_capls_best.json,False,case_005,3,3,False
3,capls,c14,0,0.719,0.732,True,36155,1236978,1236978.0,0.0,1570392.0,0.3776310920528504,416370.0,4113,95618,,2.644668787166367,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p3_n4_capls_best.json,False,case_005,3,4,False
3,capls,s9,9,0.722,0.7,True,35497,837720,837720.0,0.0,1171134.0,0.3481019880164779,298966.0,4113,95618,,2.6936924247119474,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p3_n5_capls_best.json,False,case_005,3,5,False
1,capls,c12,0,0.028,0.169,True,45035,1154138,1154138.0,0.0,1697486.0,,,6,82837,,1.8393915843233042,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",True,results\plans\case_006_p1_n2_capls_best.json,False,case_006,1,2,False
1,capls,c3,0,0.083,0.197,True,36031,363168,363168.0,0.0,906516.0,,,6,82837,,2.2990480419638644,"{""block_cap"": 0.35, ""init"": ""contig""}",True,results\plans\case_006_p1_n3_capls_best.json,False,case_006,1,3,False
1,capls,sa1,0,0.168,0.165,True,33209,1036744,1036744.0,0.0,1580092.0,,,24,82837,,2.494414164834834,"{""anneal"": true}",True,results\plans\case_006_p1_n4_capls_best.json,False,case_006,1,4,False
1,capls,sa1,0,0.121,0.118,True,28796,377182,377182.0,0.0,920530.0,,,13,82837,,2.8766842617030144,"{""anneal"": true}",True,results\plans\case_006_p1_n5_capls_best.json,False,case_006,1,5,False
2,capls,c3,0,0.04,0.121,True,43854,76680,76680.0,0.0,620028.0,,,4,82837,,1.8889268937839194,"{""block_cap"": 0.35, ""init"": ""contig""}",True,results\plans\case_006_p2_n2_capls_best.json,False,case_006,2,2,False
2,capls,c15,0,0.074,0.075,True,27968,613372,603132.0,10240.0,1156720.0,,,678,82837,,2.961849256292906,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p2_n3_capls_best.json,False,case_006,2,3,False
2,capls,s16,16,0.127,0.121,True,25390,493156,493156.0,0.0,1036504.0,,,678,82837,,3.262583694367861,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p2_n4_capls_best.json,False,case_006,2,4,False
