case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_015,3,3,60649,2.9244,965264,0.4863624617094688,9,results\final_plans\p3\n3\case_015_multicore_res.json
case_015,3,4,48141,3.6842,661084,0.36408199182152284,8,results\final_plans\p3\n4\case_015_multicore_res.json
case_015,3,5,42014,4.2215,317952,0.2099208771541723,5,results\final_plans\p3\n5\case_015_multicore_res.json
case_016,1,2,7715523,1.0,0,,1,results\final_plans\p1\n2\case_016_multicore_res.json
case_016,1,3,7715523,1.0,0,,1,results\final_plans\p1\n3\case_016_multicore_res.json
case_016,1,4,6919582,1.115,154476142,,1188,results\final_plans\p1\n4\case_016_multicore_res.json
case_016,1,5,6919582,1.115,154476142,,1188,results\final_plans\p1\n5\case_016_multicore_res.json
case_016,2,2,7715523,1.0,0,,1,results\final_plans\p2\n2\case_016_multicore_res.json
case_016,2,3,7715523,1.0,0,,1,results\final_plans\p2\n3\case_016_multicore_res.json
case_016,2,4,6104382,1.2639,35524768,,1219,results\final_plans\p2\n4\case_016_multicore_res.json
case_016,2,5,6104382,1.2639,35524768,,1219,results\final_plans\p2\n5\case_016_multicore_res.json
case_016,3,2,7715523,1.0,0,0.0,1,results\final_plans\p3\n2\case_016_multicore_res.json
case_016,3,3,7715523,1.0,0,0.0,1,results\final_plans\p3\n3\case_016_multicore_res.json
case_016,3,4,6103967,1.264,35524768,0.0302247438987059,1219,results\final_plans\p3\n4\case_016_multicore_res.json
case_016,3,5,6103967,1.264,35524768,0.0302247438987059,1219,results\final_plans\p3\n5\case_016_multicore_res.json
case_017,1,2,82310,1.978,81792,,2,results\final_plans\p1\n2\case_017_multicore_res.json
case_017,1,3,57095,2.8516,163584,,3,results\final_plans\p1\n3\case_017_multicore_res.json
case_017,1,4,44241,3.6801,245376,,4,results\final_plans\p1\n4\case_017_multicore_res.json
case_017,1,5,35157,4.6309,327168,,5,results\final_plans\p1\n5\case_017_multicore_res.json
case_017,2,2,82066,1.9839,81792,,4,results\final_plans\p2\n2\case_017_multicore_res.json
case_017,2,3,56480,2.8826,163584,,4,results\final_plans\p2\n3\case_017_multicore_res.json
case_017,2,4,42923,3.7931,245376,,5,results\final_plans\p2\n4\case_017_multicore_res.json
case_017,2,5,35157,4.6309,327168,,5,results\final_plans\p2\n5\case_017_multicore_res.json
case_017,3,2,82066,1.9839,81792,0.13258335899888152,4,results\final_plans\p3\n2\case_017_multicore_res.json
case_017,3,3,56480,2.8826,163584,0.23412556426058606,4,results\final_plans\p3\n3\case_017_multicore_res.json
case_017,3,4,42923,3.7931,245376,0.31438550456505754,5,results\final_plans\p3\n4\case_017_multicore_res.json
case_017,3,5,35157,4.6309,327168,0.23691443442198992,5,results\final_plans\p3\n5\case_017_multicore_res.json
case_018,1,2,503406,1.9951,3347456,,2,results\final_plans\p1\n2\case_018_multicore_res.json
case_018,1,3,338456,2.9675,3903872,,3,results\final_plans\p1\n3\case_018_multicore_res.json
case_018,1,4,254778,3.9421,5118976,,4,results\final_plans\p1\n4\case_018_multicore_res.json
