case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_031,1,3,True,475188,475188,5121536,5121536,,,11.3,
case_032,1,3,True,16407,16407,462204,462204,,,0.3,
case_033,1,3,True,589568,589568,7086144,7086144,,,4.1,
case_034,1,3,True,278567,278567,2647040,2647040,,,4.3,
case_035,1,3,True,106705,106705,205126,205126,,,1.4,
case_036,1,3,True,311345,311345,2304,2304,,,1.1,
case_037,1,3,True,74038,74038,737280,737280,,,0.3,
case_038,1,3,True,459298,459298,6934020,6934020,,,15.0,
case_039,1,3,True,484854,484854,10346496,10346496,,,11.7,
case_040,1,3,True,143249,143249,750764,750764,,,0.8,
case_041,1,3,True,1994174,1994174,35017728,35017728,,,320.9,
case_042,1,3,True,575665,575665,7684096,7684096,,,7.4,
case_043,1,3,True,301895,301895,1710506,1710506,,,5.2,
case_044,1,3,True,96401,96401,1283040,1283040,,,0.4,
case_045,1,3,True,42601,42601,0,0,,,0.4,
case_046,1,3,True,133707,133707,3761600,3761600,,,0.4,
case_047,1,3,True,160313,160313,1496464,1496464,,,2.6,
case_048,1,3,True,202773,202773,620994,620994,,,0.5,
case_049,1,3,True,122860,122860,1896282,1896282,,,1.1,
case_050,1,3,True,71842,71842,583052,583052,,,0.9,
case_051,1,3,True,549836,549836,19138090,19138090,,,0.6,
case_052,1,3,True,60932,60932,147456,147456,,,0.5,
case_053,1,3,True,570063,570063,10926778,10926778,,,5.1,
case_054,1,3,True,364389,364389,2171082,2171082,,,4.3,
case_055,1,3,True,38093,38093,32768,32768,,,0.5,
case_056,1,3,True,136182,136182,2188924,2188924,,,1.6,
case_057,1,3,True,26147,26147,118852,118852,,,0.3,
case_058,1,3,True,1519779,1519779,32636928,32636928,,,281.8,
case_059,1,3,True,266217,266217,2998272,2998272,,,1.8,
case_060,1,3,True,298981,298981,3164416,3164416,,,9.1,
case_061,1,3,True,32703,32703,117032,117032,,,0.5,
case_062,1,3,True,955282,955282,86016,86016,,,201.2,
case_063,1,3,True,359105,359105,5495808,5495808,,,13.4,
case_064,1,3,True,17646,17646,117382,117382,,,0.3,
case_065,1,3,True,17966,17966,27648,27648,,,0.3,
case_066,1,3,True,168908,168908,1979482,1979482,,,1.6,
case_067,1,3,True,21673797,21673797,250816128,250816128,,,24.3,
case_068,1,3,True,172181,172181,2668770,2668770,,,1.2,
case_069,1,3,True,21838,21838,788514,788514,,,0.5,
case_070,1,3,True,41458,41458,176128,176128,,,0.5,
case_071,1,3,True,16201,16201,479260,479260,,,0.3,
case_072,1,3,True,7914084,7914084,88018992,88018992,,,97.9,
case_073,1,3,True,4084492,4084492,136747904,136747904,,,2.9,
case_074,1,3,True,544838,544838,7585792,7585792,,,4.0,
case_075,1,3,True,756355,756355,5103460,5103460,,,1.5,
case_076,1,3,True,2043989,2043989,30927876,30927876,,,103.1,
case_077,1,3,True,180572,180572,425870,425870,,,1.6,
case_078,1,3,True,902667,902667,11951544,11951544,,,0.4,
case_079,1,3,True,9817862,9817862,36765696,36765696,,,10.2,
case_080,1,3,True,100325,100325,3047424,3047424,,,0.4,
case_081,1,3,True,51943,51943,0,0,,,1.4,
case_082,1,3,True,268232,268232,1738500,1738500,,,1.2,
case_083,1,3,True,404888,404888,11005760,11005760,,,1.7,
case_084,1,3,True,836168,836168,3308544,3308544,,,25.3,
case_085,1,3,True,1589859,1589859,14939962,14939962,,,10.3,
case_086,1,3,True,61208,61208,1346240,1346240,,,1.3,
case_087,1,3,True,1459150,1459150,6727680,6727680,,,630.4,
case_088,1,3,True,115533,115533,1848762,1848762,,,0.9,
case_089,1,3,True,242914,242914,683776,683776,,,2.3,
case_090,1,3,True,506027,506027,21721008,21721008,,,0.6,
case_091,1,3,True,3078955,3078955,68036740,68036740,,,145.6,
case_092,1,3,True,1712160,1712160,36590944,36590944,,,62.7,
case_093,1,3,True,25103,25103,16384,16384,,,0.3,
case_094,1,3,True,34069,34069,212544,212544,,,0.3,
case_095,1,3,True,624024,624024,17805312,17805312,,,2.4,
case_096,1,3,True,43628,43628,177552,177552,,,0.4,
case_097,1,3,True,3554934,3554934,42156032,42156032,,,2.7,
case_098,1,3,True,82843,82843,2377992,2377992,,,0.5,
case_099,1,3,True,542088,542088,6660096,6660096,,,14.2,
case_100,1,3,True,63340,63340,1239434,1239434,,,0.5,
case_001,1,4,True,58984,58984,3456,3456,,,0.3,
case_002,1,4,True,69677,69677,86016,86016,,,0.6,
case_003,1,4,True,225366,225366,3751658,3751658,,,3.4,
case_004,1,4,True,104188,104188,331776,331776,,,0.3,
case_005,1,4,True,51248,51248,1263492,1263492,,,1.2,
case_006,1,4,True,33209,33209,1036744,1036744,,,0.3,
case_007,1,4,True,254398,254398,82944,82944,,,1.5,
case_008,1,4,True,122957,122957,995328,995328,,,0.4,
case_009,1,4,True,88247,88247,699372,699372,,,1.2,
case_010,1,4,True,35660,35660,676806,676806,,,0.3,
case_011,1,4,True,46880,46880,540672,540672,,,0.3,
case_012,1,4,True,18774,18774,0,0,,,0.5,
case_013,1,4,True,66982,66982,24576,24576,,,0.8,
case_014,1,4,True,4543341,4543341,90386328,90386328,,,1835.7,
case_015,1,4,True,53003,53003,461872,461872,,,0.4,
case_016,1,4,True,6919582,6919582,154476142,154476142,,,17.4,
case_017,1,4,True,44241,44241,245376,245376,,,0.6,
case_018,1,4,True,254677,254677,6238464,6238464,,,2.4,
case_019,1,4,True,24099,24099,0,0,,,0.3,
case_020,1,4,True,133704,133704,0,0,,,1.9,
case_021,1,4,True,1550324,1550324,4608000,4608000,,,1.6,
case_022,1,4,True,14940,14940,0,0,,,0.5,
case_023,1,4,True,30864,30864,147456,147456,,,0.4,
case_024,1,4,True,2359811,2359811,67376912,67376912,,,3.8,
case_025,1,4,True,1217444,1217444,82944,82944,,,59.3,
case_026,1,4,True,46327,46327,445288,445288,,,0.3,
case_027,1,4,True,559196,559196,2211840,2211840,,,0.6,
case_028,1,4,True,12041229,12041229,326568960,326568960,,,4.7,
case_029,1,4,True,11028,11028,0,0,,,0.3,
case_030,1,4,True,701262,701262,10560000,10560000,,,56.4,
case_031,1,4,True,362001,362001,5401088,5401088,,,10.2,
case_032,1,4,True,14775,14775,397156,397156,,,0.4,
case_033,1,4,True,446802,446802,7344224,7344224,,,4.1,
case_034,1,4,True,218066,218066,3101184,3101184,,,3.7,
