case,problem,num_cores,label,feasible,makespan,added_copy_bytes,speedup,cached,is_champion,error
case_001,3,2,cross_from_p2,True,116868,1152,1.9946,True,False,
case_001,3,2,g_0.03,True,116868,1152,1.9946,True,False,
case_001,3,2,g_0.06,True,116868,1152,1.9946,True,False,
case_001,3,2,g_0.12,True,116868,1152,1.9946,True,False,
case_001,3,2,g_0.25,True,116868,1152,1.9946,True,False,
case_001,3,2,g_0.5,True,116868,1152,1.9946,True,False,
case_001,3,2,g_1.0,True,116868,1152,1.9946,True,False,
case_001,3,2,g_2.0,True,233110,0,1.0,True,False,
case_001,3,3,a_full,True,78545,2304,2.9679,True,True,
case_001,3,3,a_no_balance,True,78545,2304,2.9679,True,False,
case_001,3,3,a_no_cache_aware,True,78545,2304,2.9679,True,False,
case_001,3,3,a_no_comm,True,81663,100608,2.8545,True,False,
case_001,3,3,a_no_level,True,78545,2304,2.9679,True,False,
case_001,3,3,a_no_localsearch,True,78545,2304,2.9679,True,False,
case_001,3,3,a_no_sync,True,78545,2304,2.9679,True,False,
case_001,3,3,b_balance,True,96845,137472,2.407,True,False,
case_001,3,3,b_comm,True,78545,2304,2.9679,True,False,
case_001,3,3,b_random,True,190412,2312448,1.2242,True,False,
case_001,3,3,b_topo,True,82199,137472,2.8359,True,False,
case_001,3,3,c0,True,78545,2304,2.9679,True,False,
case_001,3,3,c1,True,78545,2304,2.9679,True,False,
case_001,3,3,c10,True,116868,1152,1.9946,True,False,
case_001,3,3,c11,True,78545,2304,2.9679,True,False,
case_001,3,3,c12,True,78545,2304,2.9679,True,False,
case_001,3,3,c13,True,78545,2304,2.9679,True,False,
case_001,3,3,c14,True,82556,2304,2.8237,True,False,
case_001,3,3,c15,True,84296,51456,2.7654,True,False,
case_001,3,3,c16,True,82556,2304,2.8237,True,False,
case_001,3,3,c17,True,82556,2304,2.8237,True,False,
case_001,3,3,c2,True,78545,2304,2.9679,True,False,
case_001,3,3,c3,True,78545,2304,2.9679,True,False,
case_001,3,3,c4,True,78545,2304,2.9679,True,False,
case_001,3,3,c5,True,78545,2304,2.9679,True,False,
case_001,3,3,c6,True,78545,2304,2.9679,True,False,
case_001,3,3,c7,True,78545,2304,2.9679,True,False,
case_001,3,3,c8,True,97680,1648896,2.3865,True,False,
case_001,3,3,c9,True,78545,2304,2.9679,True,False,
case_001,3,3,cross_from_p2,True,78545,2304,2.9679,True,False,
case_001,3,3,embed_n2,True,116868,1152,1.9946,True,False,
case_001,3,3,g_0.03,True,78545,2304,2.9679,True,False,
case_001,3,3,g_0.06,True,78545,2304,2.9679,True,False,
case_001,3,3,g_0.12,True,78545,2304,2.9679,True,False,
case_001,3,3,g_0.25,True,78545,2304,2.9679,True,False,
case_001,3,3,g_0.5,True,78545,2304,2.9679,True,False,
case_001,3,3,g_1.0,True,78545,2304,2.9679,True,False,
case_001,3,3,g_2.0,True,78545,2304,2.9679,True,False,
case_001,3,4,a_full,True,58984,3456,3.9521,True,True,
case_001,3,4,a_no_balance,True,58984,3456,3.9521,True,False,
case_001,3,4,a_no_cache_aware,True,58984,3456,3.9521,True,False,
case_001,3,4,a_no_comm,True,60938,138624,3.8254,True,False,
case_001,3,4,a_no_level,True,58984,3456,3.9521,True,False,
case_001,3,4,a_no_localsearch,True,58984,3456,3.9521,True,False,
case_001,3,4,a_no_sync,True,58984,3456,3.9521,True,False,
case_001,3,4,b_balance,True,68991,187776,3.3788,True,False,
