case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,3,4,capls,c1,0,0.064,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.15}",False,
case_001,3,3,4,capls,c2,0,0.065,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,3,3,4,capls,c3,0,0.061,0.103,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,3,3,4,capls,c4,0,0.076,0.106,True,58984,3456,3456,0,1643008,0.0,0,200,233110,,3.952088702020887,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,3,3,4,capls,c5,0,0.096,0.106,True,58984,3456,3456,0,1643008,0.0,0,200,233110,,3.952088702020887,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,3,3,4,capls,c6,0,0.076,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,3,3,4,capls,c7,0,0.099,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.08}",False,
case_001,3,3,4,capls,c8,0,0.132,0.135,True,81577,1846656,1846656,0,3486208,0.29932651534048393,614400,5,233110,,2.857545631734435,"{""block_cap"": 0.005}",False,
case_001,3,3,4,capls,c9,0,0.066,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,3,3,4,capls,c10,0,0.048,0.087,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""cores_used"": 3}",False,
case_001,3,3,4,capls,c11,0,0.043,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,3,2,4,capls,_best,0,0.062,0.083,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n4_capls_best.json
case_001,3,3,4,capls,_best,0,0.062,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n4_capls_best.json
case_006,3,2,1,single,,0,0.0,0.097,True,82837,16400,0,16400,559748,,,1,82837,,1.0,,,
case_006,3,3,1,single,,0,0.0,0.102,True,82837,16400,0,16400,559748,0.029275126148920052,16384,1,82837,,1.0,,,
case_002,3,3,2,capls,c0,0,0.086,0.244,True,134572,75264,75264,0,1299456,0.01090909090909091,13824,6,261945,,1.9465044734417263,"{""block_cap"": 0.35}",False,
case_002,3,3,2,capls,c1,0,0.075,0.202,True,134984,144384,144384,0,1368576,0.02112676056338028,27648,9,261945,,1.940563326023825,"{""block_cap"": 0.15}",False,
case_002,3,3,2,capls,c2,0,0.073,0.256,True,136168,90624,90624,0,1314816,0.010843373493975903,13824,6,261945,,1.9236898537101228,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
