case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_077,3,3,4,capls,0.25,0,0.314,2.035,True,157938,1311196,1311196,0,3452556,0.21066698051989363,662278,38,495320,,3.1361673568109003
case_077,3,3,4,capls,0.5,0,0.273,2.035,True,157938,1311196,1311196,0,3452556,0.21066698051989363,662278,38,495320,,3.1361673568109003
case_077,3,3,4,capls,1.0,0,0.15,0.768,True,145044,172032,172032,0,2313392,0.04957783107363878,114688,4,495320,,3.4149637351424396
case_077,3,3,4,capls,2.0,0,0.147,0.768,True,145044,172032,172032,0,2313392,0.04957783107363878,114688,4,495320,,3.4149637351424396
case_062,1,1,4,capls,0.03,0,1.686,54.669,True,738552,1122816,1122816,0,14524416,,,19,2854809,,3.8654136743248952
case_062,1,1,4,capls,0.06,0,1.553,39.297,True,738522,817152,817152,0,14218752,,,18,2854809,,3.865570693899437
case_062,1,1,4,capls,0.12,0,1.602,50.589,True,761526,382464,382464,0,13784064,,,15,2854809,,3.7488004349162076
case_062,1,1,4,capls,0.25,0,0.823,38.023,True,721333,344064,344064,0,13745664,,,13,2854809,,3.957685285436823
case_062,1,1,4,capls,0.5,0,0.887,50.442,True,719621,228864,228864,0,13630464,,,13,2854809,,3.9671007377494543
case_062,1,1,4,capls,1.0,0,0.895,39.89,True,718373,119808,119808,0,13521408,,,9,2854809,,3.97399261943308
case_062,1,1,4,capls,2.0,0,0.867,83.847,True,1430237,44544,44544,0,13446144,,,3,2854809,,1.9960391179923327
case_062,2,2,4,capls,0.03,0,1.688,5.349,True,735939,898560,898560,0,14300160,,,20,2854809,,3.8791380807376696
case_062,2,2,4,capls,0.06,0,1.598,5.408,True,733647,506880,506880,0,13908480,,,18,2854809,,3.8912569669064276
case_062,2,2,4,capls,0.12,0,1.63,5.362,True,759404,213504,213504,0,13615104,,,13,2854809,,3.7592756951504076
case_062,2,2,4,capls,0.25,0,0.877,4.79,True,718960,208896,208896,0,13610496,,,13,2854809,,3.9707480249248914
case_062,2,2,4,capls,0.5,0,0.885,4.362,True,717503,139776,139776,0,13541376,,,13,2854809,,3.978811238419909
case_062,2,2,4,capls,1.0,0,0.864,5.466,True,716795,89088,89088,0,13490688,,,9,2854809,,3.9827412300588034
case_062,2,2,4,capls,2.0,0,0.839,6.221,True,1429737,35328,35328,0,13436928,,,3,2854809,,1.9967371621494023
case_084,1,1,4,capls,0.03,0,0.251,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,1,1,4,capls,0.06,0,0.237,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,1,1,4,capls,0.12,0,0.279,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
