case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,2,2,5,capls,c1,0,0.034,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.15}",False,
case_001,2,2,5,capls,c2,0,0.045,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,2,2,5,capls,c3,0,0.055,0.101,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,2,2,5,capls,c4,0,0.043,0.08,True,47502,4608,4608,0,1644160,,,200,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,2,2,5,capls,c5,0,0.031,0.08,True,47502,4608,4608,0,1644160,,,200,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,2,2,5,capls,c6,0,0.043,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,2,2,5,capls,c7,0,0.053,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.08}",False,
case_001,2,2,5,capls,c8,0,0.148,0.149,True,81666,1847808,1847808,0,3487360,,,6,233110,,2.854431464746651,"{""block_cap"": 0.005}",False,
case_001,2,2,5,capls,c9,0,0.049,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,2,2,5,capls,c10,0,0.031,0.087,True,58984,3456,3456,0,1643008,,,4,233110,,3.952088702020887,"{""block_cap"": 0.35, ""cores_used"": 4}",False,
case_001,2,2,5,capls,c11,0,0.023,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
