case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_014,2,2,2,capls,c14,0,4.67,22.484,True,13053629,351705600,2096640,349608960,361638340,,,35705,17698626,,1.355839514053908,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,2,capls,c15,0,4.28,21.786,True,13054659,351705600,2096640,349608960,361638340,,,35705,17698626,,1.3557325396243594,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,2,capls,c16,0,4.476,23.028,True,13053227,351705600,2096640,349608960,361638340,,,35705,17698626,,1.3558812698193328,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_014,2,2,2,capls,c17,0,4.678,22.371,True,12929618,359456256,7799808,351656448,369388996,,,35705,17698626,,1.368843688962814,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,2,capls,_best,0,1.046,13.7,True,8904271,76033440,7799808,68233632,85966180,,,2,17698626,,1.9876558114639593,"{""block_cap"": 0.15}",True,results\plans\case_014_p2_n2_capls_best.json
case_016,3,3,3,capls,c0,0,0.654,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.35}",False,
case_016,3,3,3,capls,c1,0,0.757,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.15}",False,
case_016,3,3,3,capls,c2,0,0.725,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_016,3,3,3,capls,c3,0,0.454,5.931,True,7717621,786440,786440,0,1179658,0.6111090389369068,720896,3,7715523,,0.9997281545699122,"{""block_cap"": 0.35, ""init"": ""contig""}",True,
case_016,3,3,3,capls,c4,0,0.619,7.592,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,305,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
