case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_003,4,179646,1632018,2405900,0.4041731407126148,1075474,0,556544,1814924,0,590976,0
case_004,4,100126,110592,672768,0.1411764705882353,110592,0,0,451584,0,221184,0
case_005,4,36155,416370,686214,0.3776310920528504,196818,0,219552,513222,0,172992,0
case_006,4,24877,327178,630346,0.3416916965005577,327172,0,6,622154,0,8192,0
case_007,4,254398,0,963072,0.0,0,0,0,880128,0,82944,0
case_008,4,88500,0,1990872,0.0,0,0,0,1990872,0,0,0
case_009,4,63026,443090,604302,0.4230412300265803,347762,0,95328,587150,0,17152,0
case_010,4,24926,209348,601388,0.2582196917368909,197056,0,12292,578604,0,22784,0
case_011,4,46880,0,1081344,0.0,0,0,0,540672,0,540672,0
case_012,4,14808,123918,529492,0.1896481535330038,123910,0,8,499988,0,29504,0
case_013,4,66982,0,2048000,0.0,0,0,0,2023424,0,24576,0
case_014,4,4453421,36692856,60732912,0.3766237285396611,36692856,0,0,10184664,0,1820160,48728088
case_015,4,43221,581914,1079622,0.350226537372648,581896,0,18,940358,0,139264,0
case_016,4,6103967,557662,17892850,0.0302247438987059,557056,0,606,17860082,0,32768,0
case_017,4,35734,84096,691790,0.10838705686144615,84096,0,0,535118,0,156672,0
case_018,4,252790,3980288,2731284,0.5930485436198851,3980288,0,0,1592596,0,86016,1052672
case_019,4,21005,121344,396342,0.23439691241408886,94720,0,26624,396342,0,0,0
case_020,4,133704,0,1179648,0.0,0,0,0,1179648,0,0,0
case_021,4,1550324,0,6963200,0.0,0,0,0,2355200,0,4608000,0
case_022,4,14940,0,213540,0.0,0,0,0,213540,0,0,0
case_023,4,27929,427482,853206,0.33379089989130845,345542,0,81940,696790,0,156416,0
case_024,4,2003351,983344,14419936,0.06383990942188936,983040,0,304,14419888,0,48,0
case_025,4,1217444,0,4205568,0.0,0,0,0,4122624,0,82944,0
case_026,4,38423,386768,757198,0.3380939643311077,362192,0,24576,732622,0,24576,0
case_027,4,559196,0,4055040,0.0,0,0,0,1843200,0,2211840,0
case_028,4,10080305,2147184,10858128,0.1651005373804181,2147184,0,0,6559872,0,4298256,0
case_029,4,10970,477384,270506,0.638307772533394,477216,0,168,258216,0,12290,0
case_030,4,699009,7301120,3921920,0.6505474452554745,7301120,0,0,2401280,0,111616,1409024
case_031,4,360132,2297344,4986484,0.31540338404476326,2297344,0,0,2384500,0,0,2601984
case_032,4,11276,0,279156,0.0,0,0,0,279156,0,0,0
case_033,4,445198,3779168,6454832,0.36927574750830566,3779168,0,0,2889776,0,92160,3472896
case_034,4,208260,2950656,2348592,0.5568065506653019,2950656,0,0,2279984,0,68608,0
case_035,4,77573,692632,557444,0.5540719124277244,573552,0,119080,536450,0,20994,0
case_036,4,233584,0,3281408,0.0,0,0,0,3277952,0,3456,0
case_037,4,53320,0,1146880,0.0,0,0,0,532480,0,614400,0
case_038,4,339825,2712576,7705098,0.2603821160078536,2712576,0,0,2929674,0,64512,4710912
case_039,4,351769,10252288,11792384,0.46506874767744333,10252288,0,0,4259840,0,638976,6893568
case_040,4,101948,419688,1604896,0.20729591856895047,287442,0,132246,1578096,0,26800,0
case_041,4,1493320,14484480,29343744,0.3304829326417607,14484480,0,0,4948992,0,79872,24314880
case_042,4,428924,3803136,6851360,0.3569512814120912,3803136,0,0,2999072,0,178176,3674112
case_043,4,204676,2207820,2271148,0.4929305143506272,1704500,0,503320,1930668,0,313344,27136
case_044,4,40054,3215936,1174208,0.7325354248061111,3204416,3840,7680,1023584,0,150624,0
case_045,4,31878,0,278528,0.0,0,0,0,278528,0,0,0
case_046,4,76653,1899200,1160640,0.6206860489437356,1894080,0,5120,1145952,0,14688,0
case_047,4,112730,484882,1195142,0.2886161150078808,173714,0,311168,775878,0,419264,0
case_048,4,142969,334450,1018790,0.2471475865330614,125586,0,208864,970342,0,48448,0
case_049,4,60474,214834,356190,0.3762258679144835,68178,0,146656,298814,0,57376,0
case_050,4,43605,246134,452628,0.352242966847081,163506,0,82628,406740,0,45888,0
case_051,4,344572,393262,1310864,0.23077049466999505,393216,0,46,1310864,0,0,0
case_052,4,37183,119808,911420,0.11617993305069296,119808,0,0,810044,0,101376,0
case_053,4,424896,4127008,7041400,0.3695251821029461,2895776,0,1231232,5853350,0,1156944,31106
case_054,4,243498,872462,2258634,0.278644283024219,356494,0,515968,2026374,0,219460,12800
case_055,4,29142,592446,681030,0.46521960366744247,592398,0,48,654910,0,26120,0
case_056,4,88843,357438,519742,0.4074853507831916,190514,0,166924,437214,0,82528,0
