case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_015,1,1,3,ablation2,lvl_compress,0.072,0.297,True,72559,2167712,,177362,9,,2.4443831916095866
case_015,1,1,2,ablation2,full_c2,0.031,0.385,True,91129,224528,,177362,2,,1.9462739632828188
case_015,1,1,2,ablation2,no_comm,0.02,0.316,True,95421,769372,,177362,4,,1.858731306525817
case_015,1,1,2,ablation2,no_sync,0.032,0.385,True,91129,224528,,177362,2,,1.9462739632828188
case_015,1,1,2,ablation2,no_localsearch,0.014,0.331,True,95097,191752,,177362,2,,1.8650640924529691
case_015,1,1,2,ablation2,no_level,0.033,0.232,True,94644,901632,,177362,46,,1.8739909555809138
case_015,1,1,2,ablation2,no_level_no_comm,0.017,0.199,True,187936,717892,,177362,6,,0.94373616550315
case_015,1,1,2,ablation2,max_ops500,0.034,0.356,True,89277,224532,,177362,3,,1.9866482968737749
case_015,1,1,2,ablation2,lvl_alap,0.035,0.385,True,91129,224528,,177362,2,,1.9462739632828188
case_015,1,1,2,ablation2,lvl_compress,0.036,0.385,True,91129,224528,,177362,2,,1.9462739632828188
case_013,1,1,4,ablation2,full_c2,0.128,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_013,1,1,4,ablation2,no_comm,0.073,0.693,True,68522,143360,,263949,8,,3.8520329237325237
case_013,1,1,4,ablation2,no_sync,0.112,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_013,1,1,4,ablation2,no_localsearch,0.03,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_013,1,1,4,ablation2,no_level,0.125,1.105,True,108774,2007040,,263949,246,,2.4265817198962987
case_013,1,1,4,ablation2,no_level_no_comm,0.09,0.515,True,276368,180224,,263949,12,,0.9550635384704452
case_013,1,1,4,ablation2,max_ops500,0.126,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_013,1,1,4,ablation2,lvl_alap,0.132,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_013,1,1,4,ablation2,lvl_compress,0.132,0.608,True,66982,24576,,263949,4,,3.9405959810098237
case_015,1,1,4,ablation2,full_c2,0.107,0.346,True,62098,708948,,177362,8,,2.856162839382911
case_015,1,1,4,ablation2,no_comm,0.123,0.328,True,60840,1091728,,177362,9,,2.9152202498356345
case_015,1,1,4,ablation2,no_sync,0.098,0.346,True,62098,708948,,177362,8,,2.856162839382911
case_015,1,1,4,ablation2,no_localsearch,0.019,0.302,True,67349,1181620,,177362,9,,2.6334763693596046
case_015,1,1,4,ablation2,no_level,0.111,0.258,True,81384,1835688,,177362,78,,2.1793227169959697
