case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_010,1,1,2,ablation2,no_comm,0.015,0.163,True,56269,363136,,86969,5,,1.5455934884216886
case_010,1,1,2,ablation2,no_sync,0.025,0.164,True,53676,727312,,86969,9,,1.6202585885684477
case_010,1,1,2,ablation2,no_localsearch,0.014,0.186,True,61072,811408,,86969,8,,1.424040476814252
case_010,1,1,2,ablation2,no_level,0.033,0.131,True,103391,1032772,,86969,94,,0.8411660589413005
case_010,1,1,2,ablation2,no_level_no_comm,0.01,0.114,True,93628,391152,,86969,6,,0.9288781133848849
case_010,1,1,2,ablation2,max_ops500,0.029,0.137,True,52054,717072,,86969,8,,1.6707457640142929
case_010,1,1,2,ablation2,lvl_alap,0.033,0.152,True,57623,1195128,,86969,8,,1.509275810006421
case_010,1,1,2,ablation2,lvl_compress,0.031,0.152,True,57623,1195128,,86969,8,,1.509275810006421
case_007,1,1,4,ablation2,full_c2,0.139,1.49,True,254398,82944,,1012562,4,,3.980227831979811
case_007,1,1,4,ablation2,no_comm,0.119,1.362,True,256408,250368,,1012562,8,,3.9490265514336524
case_007,1,1,4,ablation2,no_sync,0.119,1.49,True,254398,82944,,1012562,4,,3.980227831979811
case_007,1,1,4,ablation2,no_localsearch,0.057,1.49,True,254398,82944,,1012562,4,,3.980227831979811
case_007,1,1,4,ablation2,no_level,0.169,2.471,True,390534,15316992,,1012562,555,,2.592762730005582
case_007,1,1,4,ablation2,no_level_no_comm,0.121,1.05,True,1029060,403968,,1012562,12,,0.9839678930285892
case_007,1,1,4,ablation2,max_ops500,0.177,1.074,True,255678,273408,,1012562,8,,3.960301629393221
case_007,1,1,4,ablation2,lvl_alap,0.184,1.49,True,254398,82944,,1012562,4,,3.980227831979811
case_007,1,1,4,ablation2,lvl_compress,0.172,1.49,True,254398,82944,,1012562,4,,3.980227831979811
case_007,1,1,3,ablation2,full_c2,0.122,1.761,True,338094,55296,,1012562,3,,2.994912657426633
case_007,1,1,3,ablation2,no_comm,0.071,1.687,True,340304,184320,,1012562,6,,2.9754631153321736
case_007,1,1,3,ablation2,no_sync,0.08,1.761,True,338094,55296,,1012562,3,,2.994912657426633
case_007,1,1,3,ablation2,no_localsearch,0.059,1.761,True,338094,55296,,1012562,3,,2.994912657426633
case_007,1,1,3,ablation2,no_level,0.161,2.63,True,476830,15316992,,1012562,555,,2.1235283014910973
case_007,1,1,3,ablation2,no_level_no_comm,0.129,1.074,True,1024046,307200,,1012562,9,,0.9887856600191788
case_007,1,1,3,ablation2,max_ops500,0.124,1.015,True,339686,294912,,1012562,9,,2.9808764564921724
case_007,1,1,3,ablation2,lvl_alap,0.132,1.761,True,338094,55296,,1012562,3,,2.994912657426633
case_007,1,1,3,ablation2,lvl_compress,0.141,1.761,True,338094,55296,,1012562,3,,2.994912657426633
case_007,1,1,5,ablation2,full_c2,0.195,1.203,True,203834,110592,,1012562,5,,4.967581463347626
case_007,1,1,5,ablation2,no_comm,0.157,1.215,True,203834,110592,,1012562,5,,4.967581463347626
case_007,1,1,5,ablation2,no_sync,0.161,1.203,True,203834,110592,,1012562,5,,4.967581463347626
case_007,1,1,5,ablation2,no_localsearch,0.036,1.203,True,203834,110592,,1012562,5,,4.967581463347626
case_007,1,1,5,ablation2,no_level,0.177,2.736,True,365534,15316992,,1012562,555,,2.7700897864494136
case_007,1,1,5,ablation2,no_level_no_comm,0.197,1.057,True,206774,387072,,1012562,15,,4.896950293557217
case_007,1,1,5,ablation2,max_ops500,0.243,0.97,True,205726,348672,,1012562,10,,4.92189611424905
case_007,1,1,5,ablation2,lvl_alap,0.21,1.203,True,203834,110592,,1012562,5,,4.967581463347626
case_007,1,1,5,ablation2,lvl_compress,0.214,1.203,True,203834,110592,,1012562,5,,4.967581463347626
case_011,1,1,2,ablation2,full_c2,0.02,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_011,1,1,2,ablation2,no_comm,0.014,0.213,True,97619,1032192,,184697,4,,1.8920189717165716
case_011,1,1,2,ablation2,no_sync,0.02,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_011,1,1,2,ablation2,no_localsearch,0.013,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_011,1,1,2,ablation2,no_level,0.019,0.138,True,96300,1622016,,184697,16,,1.9179335410176532
case_011,1,1,2,ablation2,no_level_no_comm,0.013,0.18,True,190562,1714176,,184697,6,,0.969222615211847
case_011,1,1,2,ablation2,max_ops500,0.021,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_011,1,1,2,ablation2,lvl_alap,0.021,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_011,1,1,2,ablation2,lvl_compress,0.021,0.146,True,92646,180224,,184697,2,,1.9935777043801135
case_010,1,1,3,ablation2,full_c2,0.064,0.17,True,44263,862518,,86969,12,,1.964823893545399
case_010,1,1,3,ablation2,no_comm,0.018,0.161,True,46839,464820,,86969,8,,1.8567646619270266
case_010,1,1,3,ablation2,no_sync,0.051,0.16,True,45138,868662,,86969,13,,1.9267357880278257
case_010,1,1,3,ablation2,no_localsearch,0.014,0.167,True,40065,975798,,86969,13,,2.1706976163733933
case_010,1,1,3,ablation2,no_level,0.068,0.166,True,87152,1098330,,86969,96,,0.9979002203047549
case_010,1,1,3,ablation2,no_level_no_comm,0.016,0.111,True,97215,556960,,86969,9,,0.8946047420665535
case_010,1,1,3,ablation2,max_ops500,0.067,0.17,True,44263,862518,,86969,12,,1.964823893545399
case_010,1,1,3,ablation2,lvl_alap,0.065,0.193,True,43427,1547578,,86969,12,,2.0026481221359984
case_010,1,1,3,ablation2,lvl_compress,0.066,0.193,True,43427,1547578,,86969,12,,2.0026481221359984
case_007,1,1,2,ablation2,full_c2,0.069,2.754,True,507494,27648,,1012562,2,,1.9952196479170197
case_007,1,1,2,ablation2,no_comm,0.079,2.83,True,509030,109056,,1012562,4,,1.9891990648881206
case_007,1,1,2,ablation2,no_sync,0.078,2.754,True,507494,27648,,1012562,2,,1.9952196479170197
case_007,1,1,2,ablation2,no_localsearch,0.066,2.754,True,507494,27648,,1012562,2,,1.9952196479170197
case_007,1,1,2,ablation2,no_level,0.09,2.752,True,659110,15316992,,1012562,555,,1.5362564670540577
case_007,1,1,2,ablation2,no_level_no_comm,0.067,1.227,True,1020208,185856,,1012562,6,,0.9925054498690463
case_007,1,1,2,ablation2,max_ops500,0.11,0.953,True,509506,270336,,1012562,8,,1.9873406790106496
case_007,1,1,2,ablation2,lvl_alap,0.091,2.754,True,507494,27648,,1012562,2,,1.9952196479170197
case_007,1,1,2,ablation2,lvl_compress,0.092,2.754,True,507494,27648,,1012562,2,,1.9952196479170197
case_010,1,1,4,ablation2,full_c2,0.086,0.144,True,41983,808372,,86969,15,,2.071528952194936
case_010,1,1,4,ablation2,no_comm,0.025,0.17,True,42719,531012,,86969,11,,2.0358388539057564
case_010,1,1,4,ablation2,no_sync,0.069,0.144,True,41983,808372,,86969,15,,2.071528952194936
case_010,1,1,4,ablation2,no_localsearch,0.012,0.18,True,38237,1018546,,86969,14,,2.274472369694275
case_010,1,1,4,ablation2,no_level,0.085,0.165,True,86091,1098330,,86969,96,,1.0101985108780245
case_010,1,1,4,ablation2,no_level_no_comm,0.023,0.111,True,102877,612784,,86969,12,,0.8453687413124411
